#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2024 12 09 03 16  0.9  0.6 10.5  0.7  9.1  NW NNW    AVERAGE  6.8 314
2024 12 09 02 46  1.1  0.6 11.1  0.9  9.1  NW NNW    AVERAGE  7.7 318
2024 12 09 02 16  1.0  0.7 11.1  0.8  9.1  NW NNW    AVERAGE  7.7 318
2024 12 09 01 46  1.1  0.7 11.1  0.9  9.9  NW  NW    AVERAGE  8.0 324
2024 12 09 01 16  1.1  0.7 11.1  0.9  9.9  NW NNW    AVERAGE  7.8 327
2024 12 09 00 46  1.1  0.7 10.5  0.9  9.9  NW NNW    AVERAGE  7.8 317
2024 12 09 00 16  1.1  0.6 10.5  0.9  9.9 NNW  NW    AVERAGE  7.4 327
2024 12 08 23 46  1.2  0.8 11.1  0.9  9.9 NNW  NW    AVERAGE  7.8 330
2024 12 08 23 16  1.1  0.8 11.1  0.8  9.9  NW NNW      SWELL  7.5 320
2024 12 08 22 46  1.2  0.9 10.5  0.9  9.9  NW  NW      SWELL  7.8 318
2024 12 08 22 16  1.2  1.0 10.5  0.8  9.9  NW  NW      SWELL  8.2 314
2024 12 08 21 46  1.2  0.9 11.1  0.9  9.9  NW NNW      SWELL  8.4 325
2024 12 08 21 16  1.3  1.1 10.5  0.9  9.9  NW  NW      SWELL  8.9 324
2024 12 08 20 46  1.3  1.0 11.1  0.8  9.9 NNW  NW      SWELL  8.9 328
2024 12 08 20 16  1.3  1.0 11.1  0.9  9.9  NW NNW      SWELL  8.9 323
2024 12 08 19 46  1.4  1.2 11.8  0.9  9.1  NW  NW      SWELL  9.0 314
2024 12 08 19 16  1.5  1.2 11.1  0.9  9.9  NW  NW      SWELL  9.1 325
2024 12 08 18 46  1.4  1.1 11.1  0.9  9.9  NW  NW      SWELL  8.9 324
2024 12 08 18 16  1.4  1.0 11.8  1.0  9.9  NW  NW      SWELL  8.6 317
2024 12 08 17 46  1.4  1.1 11.8  0.9  9.9  NW NNW      SWELL  9.0 321
2024 12 08 17 16  1.4  1.1 11.1  0.9  9.9  NW  NW      SWELL  8.9 324
2024 12 08 16 46  1.5  1.1 12.5  1.0  9.9 NNW  NW      SWELL  9.0 344
2024 12 08 16 16  1.5  1.1 12.5  1.1  9.9 NNW NNW      SWELL  8.8 335
2024 12 08 15 46  1.6  1.3 11.8  1.0  8.3  NW NNW      SWELL  9.2 324
2024 12 08 15 16  1.6  1.3 12.5  0.9  8.3 NNW   N      SWELL  9.6 339
2024 12 08 14 46  1.6  1.3 11.8  1.0  9.9  NW  NW      SWELL  9.4 325
2024 12 08 14 16  1.5  1.2 12.5  1.0  9.9  NW  NW      SWELL  9.2 325
2024 12 08 13 46  1.6  1.3 12.5  1.0  9.9 NNW  NW      SWELL  9.7 332
2024 12 08 13 16  1.7  1.4 12.5  0.9  9.1 NNW NNW      SWELL  9.8 331
2024 12 08 12 46  1.7  1.4 12.5  1.0  9.1  NW NNW      SWELL  9.6 325
2024 12 08 12 16  1.5  1.1 11.8  1.1  9.9 NNW  NW      SWELL  9.2 331
2024 12 08 11 46  1.8  1.5 11.8  1.1  9.9 NNW  NW      SWELL  9.7 327
2024 12 08 11 16  1.7  1.4 12.5  1.1  9.9  NW  NW      SWELL  9.8 320
2024 12 08 10 46  1.9  1.5 12.5  1.1  9.9 NNW  NW      SWELL  9.9 328
2024 12 08 10 16  2.0  1.7 12.5  1.1  9.9 NNW  NW      SWELL 10.2 328
2024 12 08 09 46  1.7  1.3 11.1  1.2  9.9  NW NNW      SWELL  9.4 317
2024 12 08 09 16  1.8  1.5 12.5  1.0  9.1  NW NNW      SWELL  9.9 324
2024 12 08 08 46  2.0  1.7 12.5  1.2  9.9  NW  NW      SWELL 10.0 323
2024 12 08 08 16  1.9  1.6 12.5  1.1  9.1 NNW  NW      SWELL  9.9 328
2024 12 08 07 46  1.9  1.6 12.5  1.1  9.9 NNW NNW      SWELL 10.0 327
2024 12 08 07 16  1.7  1.4 12.5  1.0  9.9  NW  NW      SWELL  9.7 321
2024 12 08 06 46  1.8  1.4 13.3  1.2  9.1 NNW  NW      SWELL  9.4 327
